parentid,object_location,objectid,title,date,date-is-approximate?,creator,recipient,description,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,format,language,relation,display_template,image_small,image_thumb
juneteenth010,https://digital.ncdcr.gov/Documents/Detail/stagville-state-historic-site/59176,juneteenth011,Stagville State Historic Site,1787,yes,North Carolina ECHO (Project),,Sign explaining the Horton Grove section of Stagville Historic Site,single-page; sign,Historic sites--North Carolina; Plantations--North Carolina,"Durham, North Carolina",,,,North Carolina Digital State Publications Collection,"Cultural Heritage Institutions of North Carolina, NC ECHO Project",,,ncecho_793011,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",https://digital.ncdcr.gov/about#copyright-and-use-restrictions-simple-rich-text-area,Text; image,image/jpeg,eng,,image,/objects/small/011_stagville_sign_sm.jpg,/objects/thumbs/011_stagville_sign_th.jpg
juneteenth010,https://digital.ncdcr.gov/Documents/Detail/stagville-state-historic-site/59175,juneteenth012,Stagville State Historic Site,1787,yes,North Carolina ECHO (Project),,One of the plantation's slave houses built in 1850,single-page; photo,Historic sites--North Carolina; Plantations--North Carolina,"Durham, North Carolina",,,,North Carolina Digital State Publications Collection,"Cultural Heritage Institutions of North Carolina, NC ECHO Project",,,ncecho_793012,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",https://digital.ncdcr.gov/about#copyright-and-use-restrictions-simple-rich-text-area,Text; image,image/jpeg,eng,,image,/objects/small/012_stagville_slavehouse_sm.jpg,/objects/thumbs/012_stagville_slavehouse_th.jpg
juneteenth010,https://digital.ncdcr.gov/Documents/Detail/stagville-state-historic-site/59178,juneteenth013,Stagville State Historic Site,1787,yes,North Carolina ECHO (Project),,"The interior of the slave house. These houses have ""nogging"" or brick insulation",single-page; photo,Historic sites--North Carolina; Plantations--North Carolina,"Durham, North Carolina",,,,North Carolina Digital State Publications Collection,"Cultural Heritage Institutions of North Carolina, NC ECHO Project",,,ncecho_793015,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",https://digital.ncdcr.gov/about#copyright-and-use-restrictions-simple-rich-text-area,Text; image,image/jpeg,eng,,image,/objects/small/013_stagville_slaveinside_sm.jpg,/objects/thumbs/013_stagville_slaveinside_th.jpg
juneteenth010,https://digital.ncdcr.gov/Documents/Detail/stagville-state-historic-site/59177,juneteenth014,Stagville State Historic Site,1787,yes,North Carolina ECHO (Project),,The bricks in the slave house's chimneys were made on the plantation. Thumbprints are still visible in the bricks,single-page; photo,Historic sites--North Carolina; Plantations--North Carolina,"Durham, North Carolina",,,,North Carolina Digital State Publications Collection,"Cultural Heritage Institutions of North Carolina, NC ECHO Project",,,ncecho_793013,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",https://digital.ncdcr.gov/about#copyright-and-use-restrictions-simple-rich-text-area,Text; image,image/jpeg,eng,,image,/objects/small/014_stagville_bricks_sm.jpg,/objects/thumbs/014_stagville_bricks_th.jpg
juneteenth010,https://digital.ncdcr.gov/Documents/Detail/tar-heel-junior-historian-2010-fall-v.50-no.1/5715018?item=5716714,juneteenth015,Life on the Plantation at Stagville,1787,yes,"Puryear, Kim",,Article from Tar Heel Junior Historian about life on Stagville Plantation,multiple-page; periodical,"North Carolina--History--Periodicals; North Carolina--History--Societies, etc.--Periodicals","Durham, North Carolina",,,,North Carolina Digital State Publications Collection,North Carolina Museum of History. Tar Heel Junior Historian Association.,,,pubs_serial_6740319_tar2010fallv50n1,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",https://digital.ncdcr.gov/about#copyright-and-use-restrictions-simple-rich-text-area,Text,application/pdf,eng,,pdf,/objects/small/015_stagville_plantation_sm.jpg,/objects/thumbs/015_stagville_plantation_th.jpg
juneteenth010,https://digital.ncdcr.gov/Documents/Detail/tar-heel-junior-historian-1983-spring-v.22-no.3/3704593?item=4545286,juneteenth016,"Tar heel junior historian [1983 : spring, v.22 : no.3]",1787,yes,North Carolina Museum of History. Tar Heel Junior Historian Association.,,Volume of Tar Heel Junior Historian dedicated to Stagville Plantation,multiple-page; periodical,"North Carolina--History--Periodicals; North Carolina--History--Societies, etc.--Periodicals","Durham, North Carolina",,,,North Carolina Digital State Publications Collection,North Carolina Museum of History. Tar Heel Junior Historian Association.,,,pubs_serial_history_tarheeljuniorhistorian1983_spr,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",https://digital.ncdcr.gov/about#copyright-and-use-restrictions-simple-rich-text-area,Text,application/pdf,eng,,pdf,/objects/small/016_stagville-thjh_sm.jpg,/objects/thumbs/016_stagville-thjh_th.jpg
juneteenth010,https://historicsites.nc.gov/all-sites/historic-stagville,juneteenth017,Stagville State Historic Site,1787,,North Carolina Division of State Historic Sites and Properties,,Website for the Stagville Historic Site,single-page; website,Historic sites--North Carolina; Plantations--North Carolina,"Durham, North Carolina",,,,North Carolina Division of State Historic Sites and Properties,North Carolina Division of State Historic Sites and Properties,,,,"Unless otherwise noted on an individual document, the state of North Carolina grants permission to copy and distribute non-image files, documents, and information for non-commercial use, provided they are copied and distributed without alteration. Photos and other images appearing on our websites have been purchased with a license for limited use. Use of any photos or images appearing on any state website is strictly prohibited.",https://www.nc.gov/disclaimer-terms-use,Text,application/pdf,eng,,pdf,/objects/small/017_stagville_website_sm.jpg,/objects/thumbs/017_stagville_website_th.jpg
,,juneteenth018,Somerset Place,1785,yes,,,Resources related to Somerset Place State Historic Site,,Historic sites--North Carolina; Plantations--North Carolina; Plantations--North Carolina--Somerset; Somerset Place (N.C.),"Creswell, Washington County, North Carolina, United States",,,,,,,,,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",https://digital.ncdcr.gov/about#copyright-and-use-restrictions-simple-rich-text-area,,,,,compound_object,/objects/small/019_somerset_arch_sm.jpg,/objects/thumbs/019_somerset_arch_th.jpg
juneteenth018,https://digital.ncdcr.gov/Documents/Detail/somerset-place-state-historic-site/50575,juneteenth019,Somerset Place State Historic Site,1785,yes,North Carolina ECHO (Project),,"An archaeological dig site at Somerset Place - Old Sucky's House, home in 1843 to 23 enslaved people",single-page; photo,Historic sites--North Carolina; Plantations--North Carolina,"Creswell, Washington County, North Carolina, United States",,,,North Carolina Digital State Publications Collection,"Cultural Heritage Institutions of North Carolina, NC ECHO Project",,,ncecho_118003,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",https://digital.ncdcr.gov/about#copyright-and-use-restrictions-simple-rich-text-area,Text; image,image/jpeg,eng,,image,/objects/small/019_somerset_arch_sm.jpg,/objects/thumbs/019_somerset_arch_th.jpg
juneteenth018,https://digital.ncdcr.gov/Documents/Detail/somerset-place-state-historic-site/50577,juneteenth020,Somerset Place State Historic Site,1785,yes,North Carolina ECHO (Project),,Exterior front of Somerset Place plantation home as seen from across the canal,single-page; photo,Historic sites--North Carolina; Plantations--North Carolina,"Creswell, Washington County, North Carolina, United States",,,,North Carolina Digital State Publications Collection,"Cultural Heritage Institutions of North Carolina, NC ECHO Project",,,ncecho_118002,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",https://digital.ncdcr.gov/about#copyright-and-use-restrictions-simple-rich-text-area,Text; image,image/jpeg,eng,,image,/objects/small/020_somerset_sm.jpg,/objects/thumbs/020_somerset_th.jpg
juneteenth018,https://digital.ncdcr.gov/Documents/Detail/slave-hospital-and-the-large-slave-quarter-at-somerset-place-architectural-research-and-structures-report/3690692?item=4332226,juneteenth021,Slave hospital and the large slave quarter at Somerset Place : architectural research and structures report,1785,yes,"Little, M. Ruth (Margaret Ruth), 1946-",,Report on the slave hospital and large slave quarters building at Somerset Place,multiple-page; reports,Enslaved persons--Dwellings--North Carolina--Washington County; Historic buildings--North Carolina--Washington County; Somerset Place (N.C.),"Creswell, Washington County, North Carolina, United States",,,,North Carolina Digital State Publications Collection,North Carolina. Historic Sites Section.,,,pubs_41867059_slave199904,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",https://digital.ncdcr.gov/about#copyright-and-use-restrictions-simple-rich-text-area,Text,application/pdf,eng,,pdf,/objects/small/021_somerset_report_sm.jpg,/objects/thumbs/021_somerset_report_th.jpg
juneteenth018,https://digital.ncdcr.gov/Documents/Detail/josiah-collins-papers-1761-1892/376055?item=377737,juneteenth022,Josiah Collins Papers,1761-1892,yes,"Collins, Josiah, et. al.",,"Papers of the Collins family of Chowan, Tyrrell, and Washington counties, especially Josiah Collins I (1735-1819), who emigrated from England in 1773 and purchased large amounts of land, Josiah II (1763-1833), Josiah III (1808-1863), and Josiah IV (1830-1890). Correspondence concerns land, estate settlements, schooling in Jamaica, N.Y. (1818-1819), relatives in England (1826, 1829), election of 1840, fisheries, medical treatments, and will of a freed slave (1859). Civil War letters (1863) are to Josiah III in Hillsborough concerning slaves and plantation management in Franklin and Washington counties; Federal rule in Washington and Tyrrell counties; work of Episcopal ministers such as Chaplain George Patterson, 3rd Regt. NCST, including his semiannual report to Bishop Atkinson; and soldiers in the 17th Regt. NCT along Roanoke River and at Kinston.",multiple-page; family papers,"Collins, Josiah, 1735-1819; Collins, Josiah, 1808-1863; Plantations--North Carolina--Somerset; Somerset Place (N.C.)","Creswell, Washington County, North Carolina, United States",,,,North Carolina Digital State Publications Collection,Josiah Collins Papers. Private Collections. State Archives of North Carolina,,PC.417,Collins_Josiah_Papers_PC417_Final,The SA of NC considers this item in the public domain by U.S. law but responsibility for permissions rests with researchers.,https://archives.ncdcr.gov/researchers/services/permissions-and-citations,Text,application/pdf,eng,,pdf,/objects/small/022_josiah_collins_sm.jpg,/objects/thumbs/022_josiah_collins_th.jpg
juneteenth018,https://digital.ncdcr.gov/Documents/Detail/state/946480?item=946507,juneteenth023,Somerset Plantation,1785,yes,"Saunders, W. O.",,Article about Somerset Plantation,multiple-page; periodical,"Collins, Josiah, 1735-1819; Historic sites--North Carolina--Washington County; North Carolina--Periodicals; Pettigrew State Park (N.C.); Plantations--North Carolina--Washington County; Somerset Place (N.C.)","Creswell, Washington County, North Carolina, United States",,,,North Carolina Digital State Publications Collection,Our State Magazine,,,gen_serial_ourstate19390325_0001.jp2-gen_serial_ourstate19390325_0028.jp2,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",https://digital.ncdcr.gov/about#copyright-and-use-restrictions-simple-rich-text-area,Text,application/pdf,eng,,pdf,/objects/small/023_somerset_plantation_sm.jpg,/objects/thumbs/023_somerset_plantation_th.jpg
juneteenth018,https://digital.ncdcr.gov/Documents/Detail/tar-heel-junior-historian-1963-september-v.3-no.1/3704541?item=4497596,juneteenth024,Somerset Place,1785,yes,The Department of Conservation and Development,,Article about Somerset Place and its conservation as part of Pettigrew State Park,multiple-page; periodical,"Collins, Josiah, 1735-1819; Historic sites--North Carolina--Washington County; North Carolina--Periodicals; Pettigrew State Park (N.C.); Plantations--North Carolina--Washington County; Somerset Place (N.C.)","Creswell, Washington County, North Carolina, United States",,,,North Carolina Digital State Publications Collection,North Carolina Museum of History. Tar Heel Junior Historian Association.,,,pubs_serial_history_tarheeljuniorhistorian15,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",https://digital.ncdcr.gov/about#copyright-and-use-restrictions-simple-rich-text-area,Text,application/pdf,eng,,pdf,/objects/small/024_somerset_place_sm.jpg,/objects/thumbs/024_somerset_place_th.jpg
juneteenth018,https://historicsites.nc.gov/all-sites/somerset-place,juneteenth025,Somerset State Historic Site,1785,,North Carolina Division of State Historic Sites and Properties,,Website for the Somerset Place Historic Site,single-page; website,Historic sites--North Carolina; Plantations--North Carolina; Plantations--North Carolina--Somerset; Somerset Place (N.C.),"Creswell, Washington County, North Carolina, United States",,,,North Carolina Division of State Historic Sites and Properties,North Carolina Division of State Historic Sites and Properties,,,,"Unless otherwise noted on an individual document, the state of North Carolina grants permission to copy and distribute non-image files, documents, and information for non-commercial use, provided they are copied and distributed without alteration. Photos and other images appearing on our websites have been purchased with a license for limited use. Use of any photos or images appearing on any state website is strictly prohibited.",https://www.nc.gov/disclaimer-terms-use,Text,application/pdf,eng,,pdf,/objects/small/025_somerset_place_website_sm.jpg,/objects/thumbs/025_somerset_place_website_th.jpg
,https://digital.ncdcr.gov/Documents/Detail/federation-bulletin-2023-june-v.43-no.2/5810612?item=5811811,juneteenth026,"Federation bulletin [2023 : June, v.43 : no.2]",2023-06,no,Federation of North Carolina Historical Societies,,Federation Bulletin with DNCR News of Juneteenth presentation at NC Museum of History,single-page; newsletter,Federation of North Carolina Historical Societies--Periodicals,"North Carolina, United States",,,,North Carolina Digital State Publications Collection,State Library of NC. Federation of North Carolina Historical Societies.,,,pubs_serial_13305506_federation202306v43n2,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",https://digital.ncdcr.gov/about#copyright-and-use-restrictions-simple-rich-text-area,Text,application/pdf,eng,,pdf,/objects/small/026_fed_bulletin_sm.jpg,/objects/thumbs/026_fed_bulletin_th.jpg
,https://digital.ncdcr.gov/Documents/Detail/north-carolina-state-parks-annual-report-2021/5706514?item=5707070,juneteenth027,Diversity and Inclusion from North Carolina state parks annual report [2021],2021,no,North Carolina. Division of Parks and Recreation.,,Article discusses ways that the NC State Park system is working to increase diversity and inclusion for staff and visitors,multiple-page; reports,North Carolina. Division of Parks and Recreation--Periodicals; Parks--North Carolina--Periodicals; Parks--Recreational Use--North Carolina--Periodicals,"North Carolina, United States",,,,North Carolina Digital State Publications Collection,State Library of NC. North Carolina Division of Parks and Recreation,,,pubs_serial_163578861_annual2021,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",https://digital.ncdcr.gov/about#copyright-and-use-restrictions-simple-rich-text-area,Text,application/pdf,eng,,pdf,/objects/small/027_parksandrec_sm.jpg,/objects/thumbs/027_parksandrec_th.jpg
,https://digital.ncdcr.gov/Documents/Detail/jonkonnu-a-celebration-of-north-carolinas-african-american-heritage-and-culture/5827834,juneteenth028,Jonkonnu : a celebration of North Carolina's African American heritage and culture,,,North Carolina. Tryon Palace Commission.,,Brochure about Jonkonnu at Tryon Palace,multiple-page; brochure,Jonkonnu (Festival)--North Carolina--History; Jonkonnu (Festival)--North Carolina--New Bern,"New Bern, North Carolina",35.106182,-77.044430,,North Carolina Digital State Publications Collection,State Library of NC. North Carolina Department of Natural and Cultural Resources. ,,,pubs_1421954600_jonkonnu,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",https://digital.ncdcr.gov/about#copyright-and-use-restrictions-simple-rich-text-area,Text,application/pdf,eng,,pdf,/objects/small/028_jonkonnu_sm.jpg,/objects/thumbs/028_jonkonnu_th.jpg
,https://digital.ncdcr.gov/Documents/Detail/historic-princeville-from-slavery-to-freedom-hill/1728972,juneteenth029,Historic Princeville: From slavery to Freedom Hill,1885,no,"Civil War Trails, Inc. North Carolina Library for the Blind and Physically Handicapped.",,A sign discussing the creation and growth of Princeville.,single-page; sign,"North Carolina--History--Civil War, 1861-1865; North Carolina--History--Civil War, 1861-1865--African Americans","Princeville, North Carolina",35.8896,-77.5322,,North Carolina Digital State Publications Collection,"State Library of NC. Civil War Trails, Inc.",,,gen_cw_historicprincevilleslavery,"May be copyrighted. Submit permissions requests for further use to Civil War Trails, Inc http://www.civilwartrails.org/",https://www.civilwartrails.org/,Text; image,image/jpeg,eng,,image,/objects/small/029_princeville_sm.jpg,/objects/thumbs/029_princeville_th.jpg
,,juneteenth030,Bennett Place,1865,,,,Resources related to Bennett Place State Historic Site,,"Bennett Place State Historic Site; Historic sites--North Carolina; North Carolina--History--Civil War, 1861-1865",,,,,,,,,,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",https://digital.ncdcr.gov/about#copyright-and-use-restrictions-simple-rich-text-area,,,,,compound_object,/objects/small/031_bennett_place_sm.jpg,/objects/thumbs/031_bennett_place_th.jpg
juneteenth030,https://digital.ncdcr.gov/Documents/Detail/bennett-place-state-historic-site/59138,juneteenth031,Bennett Place State Historic Site,1865,yes,North Carolina ECHO (Project),,"A view of the Hillsborough Road on the grounds of Bennett Place, the site of the largest troop surrender of the Civil War",single-page; photograph,Historic sites--North Carolina,"Durham, North Carolina",,,,North Carolina Digital State Publications Collection,"Civil War Collection. Cultural Heritage Institutions of North Carolina, NC ECHO Project",,,ncecho_789004,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",https://digital.ncdcr.gov/about#copyright-and-use-restrictions-simple-rich-text-area,Text; image,image/jpeg,eng,,image,/objects/small/031_bennett_place_sm.jpg,/objects/thumbs/031_bennett_place_th.jpg
juneteenth030,https://digital.ncdcr.gov/Documents/Detail/bennett-place-state-historic-site/59145,juneteenth032,Bennett Place State Historic Site,1865,yes,North Carolina ECHO (Project),,Kent McCoury (l) and Peter Hymas in front of the Bennett's log cabin kitchen,single-page; photograph,Historic sites--North Carolina,"Durham, North Carolina",,,,North Carolina Digital State Publications Collection,"Civil War Collection. Cultural Heritage Institutions of North Carolina, NC ECHO Project",,,ncecho_789013,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",https://digital.ncdcr.gov/about#copyright-and-use-restrictions-simple-rich-text-area,Text; image,image/jpeg,eng,,image,/objects/small/032_bennett_place_kitchen_sm.jpg,/objects/thumbs/032_bennett_place_kitchen_th.jpg
juneteenth030,https://digital.ncdcr.gov/Documents/Detail/bennett-place-the-end-of-the-war-carolinas-campaign/1728922,juneteenth033,Bennett Place: The end of the war: Carolinas campaign,1865,no,"Civil War Trails, Inc. North Carolina Library for the Blind and Physically Handicapped.",,A sign discussing the details of the surrender of the Confederacy at Bennet Place,single-page; sign,"Bennett Place State Historic Site; North Carolina--History--Civil War, 1861-1865","Durham, North Carolina",,,,North Carolina Digital State Publications Collection,Civil War Collection.,,,gen_cw_bennettplaceend,"May be copyrighted. Submit permissions requests for further use to Civil War Trails, Inc http://www.civilwartrails.org/",https://www.civilwartrails.org/,Text; image,image/jpeg,eng,,image,/objects/small/033_bennettplace_sign_sm.jpg,/objects/thumbs/033_bennettplace_sign_th.jpg
juneteenth030,https://digital.ncdcr.gov/Documents/Detail/audio-bennett-place-the-end-of-the-war-carolinas-campaign/949443,juneteenth034,Audio: Bennett Place: The end of the war: Carolinas campaign,1865,no,"Civil War Trails, Inc. North Carolina Library for the Blind and Physically Handicapped.",,Audio reading the text on the Bennett Place Civil War Trails sign,,"Bennett Place State Historic Site; North Carolina--History--Civil War, 1861-1865","Durham, North Carolina",,,,North Carolina Digital State Publications Collection,Civil War Collection.,,,gen_cw_bennettplaceend,The SA of NC considers this item in the public domain by U.S. law but responsibility for permissions rests with researchers.,https://www.civilwartrails.org/,audio,audio/wav,eng,,audio,,
